pid,Academic_performance,Chinese_score,Math_score,Province,P_StopTV,P_Discuss,P_Supervising,P_Check_homework,C_Work_hard,C_Check_homwork,C_Self_discipline,C_Focus,Extra_tutorial_fee,Household_income_total,F_Edu_level,M_Edu_level,Household_type_Urban,Gender_Male,Edu_level_Junior,Edu_level_Primary,Keyschool_Yes,Keyclass_Yes,C_Attend_extra_tourial_or_not_Yes
441102103,7,4,4,广东省,2,3,4,5,5,4,4,4,1,5,1,1,1,1,1,0,0,0,0
441108106,7,4,4,广东省,5,4,5,4,4,2,4,4,6,6,6,5,1,0,0,1,0,0,0
441113105,2,2,1,广东省,1,1,5,1,4,3,2,2,5,6,4,2,1,0,1,0,0,0,0
441117107,3,2,2,广东省,5,4,5,5,4,4,4,4,1,5,3,3,1,0,1,0,1,0,0
441182103,7,4,4,广东省,5,4,2,1,5,4,4,4,1,5,5,3,1,0,1,0,0,1,0
441182401,7,4,4,广东省,5,5,5,5,3,3,4,2,6,5,5,3,1,1,0,1,0,0,0
441205107,5,3,3,广东省,4,4,4,4,4,2,2,4,1,7,3,4,1,0,0,1,0,0,0
441206103,3,2,2,广东省,3,3,4,3,4,2,4,2,1,5,4,4,1,0,0,1,1,0,0
441222103,5,3,3,广东省,5,4,4,4,5,5,5,5,1,6,4,3,1,0,0,1,1,0,0
441245104,5,3,3,广东省,1,5,5,2,4,2,2,4,1,5,3,2,1,1,0,1,0,0,0
441258104,7,4,4,广东省,1,5,5,5,4,2,2,4,6,6,4,5,1,0,0,1,1,0,1
441275105,3,2,2,广东省,4,1,5,1,2,2,4,4,1,5,1,1,1,1,0,1,1,0,0
441275106,1,1,1,广东省,4,1,5,1,2,2,4,2,1,5,1,1,1,1,0,1,0,0,0
441288106,3,2,2,广东省,3,2,2,2,2,2,1,2,1,5,3,1,1,0,1,0,1,0,0
441289107,5,2,4,广东省,4,2,4,1,2,2,4,4,1,5,3,4,1,1,0,1,1,0,0
441297103,7,4,4,广东省,4,3,5,5,4,4,4,4,2,5,3,4,1,0,0,1,0,0,1
441300105,6,4,3,广东省,4,4,4,4,4,4,4,4,1,6,4,5,1,1,0,1,0,0,0
441300401,5,3,3,广东省,2,2,4,3,4,4,2,3,1,6,4,5,1,1,0,1,0,0,0
441309105,5,4,2,广东省,3,2,2,2,4,4,4,4,6,6,4,4,1,0,0,1,0,0,1
441309106,3,2,2,广东省,2,2,2,2,4,4,4,4,6,6,4,4,1,0,0,1,0,0,1
441311103,5,3,3,广东省,2,4,3,1,4,4,4,2,1,6,5,5,1,0,1,0,0,0,0
441317105,3,2,2,广东省,1,3,4,4,4,4,4,5,1,5,3,4,1,1,0,1,1,0,0
441329105,7,4,4,广东省,5,5,5,5,2,2,4,2,1,6,4,5,1,0,0,1,1,0,0
441330103,7,4,4,广东省,3,5,5,5,4,4,4,4,8,6,6,6,1,0,0,1,0,0,1
441341401,7,4,4,广东省,1,1,4,5,4,4,4,4,1,6,3,3,1,1,0,1,0,0,0
441349103,5,4,2,广东省,4,5,5,5,3,2,5,2,7,5,4,5,1,0,0,1,1,0,0
441356102,7,4,4,广东省,3,4,4,3,4,4,5,4,7,6,6,7,1,1,0,1,0,0,1
441357109,3,2,2,广东省,1,3,5,5,4,4,4,4,1,6,3,3,1,1,0,1,0,0,0
441378401,6,4,3,广东省,4,4,4,2,4,4,5,5,6,6,6,5,1,0,0,1,0,0,1
441401105,3,2,2,广东省,4,3,4,4,2,4,4,4,1,5,3,2,0,1,0,1,1,0,0
441401551,6,4,3,广东省,2,1,4,5,4,4,4,4,1,5,3,2,0,1,0,1,1,0,0
441409401,6,4,3,广东省,5,1,4,5,2,4,2,2,6,5,2,3,0,0,0,1,0,0,0
441411103,5,3,3,广东省,2,2,2,2,2,2,2,2,1,5,2,2,1,0,0,1,0,0,0
441447105,3,2,2,广东省,3,1,3,3,4,4,4,4,1,6,4,5,1,1,0,1,0,0,1
441457401,6,3,4,广东省,2,5,5,5,2,4,4,2,1,5,4,4,1,1,0,1,0,0,0
441468103,2,2,1,广东省,4,3,4,3,5,5,4,5,1,5,3,4,1,0,0,1,0,0,0
441473104,3,2,2,广东省,5,5,5,5,4,4,4,3,1,5,2,2,1,1,0,1,0,0,0
441478102,3,2,2,广东省,2,4,4,4,4,4,4,4,1,6,4,3,1,0,1,0,0,0,0
441478103,3,2,2,广东省,2,2,4,4,4,4,4,4,1,6,4,3,1,1,0,1,0,0,0
441479104,6,3,4,广东省,5,1,5,4,4,4,4,4,1,5,4,3,0,1,0,1,0,0,0
441498103,5,3,3,广东省,2,4,2,3,4,4,4,4,6,5,4,4,1,0,0,1,0,0,1
441519109,7,4,4,广东省,4,4,4,4,4,4,4,4,1,6,4,3,1,1,0,1,0,0,0
441519110,7,4,4,广东省,4,2,4,2,4,4,4,4,1,6,4,3,1,0,1,0,0,0,0
441522105,3,2,2,广东省,1,3,4,4,4,4,4,4,1,5,3,2,0,0,0,1,0,0,0
441527104,1,1,1,广东省,3,4,3,1,4,4,4,4,1,5,2,1,1,1,1,0,0,0,0
441527108,2,2,1,广东省,2,3,5,4,4,4,4,2,1,5,2,1,1,1,0,1,1,0,0
441527109,2,2,1,广东省,3,4,3,4,4,4,4,2,1,5,2,1,1,1,0,1,0,0,0
441528106,5,3,3,广东省,1,1,5,3,4,4,4,4,1,6,2,2,0,0,0,1,0,0,0
441530106,5,3,3,广东省,3,3,3,3,4,2,4,4,1,5,4,4,0,1,0,1,0,0,0
441532105,1,1,1,广东省,2,1,4,1,2,2,2,2,1,5,3,2,0,1,0,1,0,0,0
441534401,3,2,2,广东省,4,4,3,3,4,4,4,4,1,5,3,4,1,1,0,1,0,0,0
441537103,1,1,1,广东省,1,1,4,1,5,5,4,4,1,5,1,1,0,1,1,0,0,0,0
441538104,7,4,4,广东省,1,4,4,1,5,4,4,5,1,5,3,2,0,0,0,1,1,0,0
